AUTH_CDT,MERCH_CAT_CD,TRAN_FRAUD,ZIP_CD,ECI_IND,APPROVED_AMT,DECLINE_RES1,AUTH_CD,ADFLAG,MCC_Description,ECI_Description,TRAN_FRAUD_N,TRAN_FRAUD_Y,ADFLAG_BINARY
2023-12-26,5734,N,J9J3M,0,1.2,7,01654E,decline,Computer Software Stores,Authentication Failed/Unavailable,1,0,0
2023-12-26,4816,N,J9J3M,0,18.07,0,07184E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-12-29,4816,N,J9J3M,0,34.5,0,06337E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-12-30,5816,N,J9J3M,0,21.83,0,02080E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2023-12-31,5815,N,J9J3M,7,17.23,0,05475E,approved,Digital Goods Media,Authentication Failed/Unavailable,1,0,1
2024-01-01,4899,N,J9J3M,7,24.13,0,01258E,approved,"Cable, Satellite, and Other Pay Television and Radio Services",Authentication Failed/Unavailable,1,0,1
2024-01-02,5734,N,J9J3M,7,15.33,0,01052E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2024-01-04,5734,N,J9J3M,7,27.52,0,01226E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2024-01-07,4816,N,J9J3M,0,14.9,0,05155E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2024-01-13,4816,N,J9J3M,0,17.19,7,06135E,decline,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,0
2024-01-13,5968,N,J9J3M,0,5.75,0,06478E,approved,Direct Marketing - Other Direct Marketers,Authentication Failed/Unavailable,1,0,1
2024-01-14,4814,N,J9J3M,0,27.52,0,05822E,approved,Telecommunication Services,Authentication Failed/Unavailable,1,0,1
2024-01-14,5818,N,J9J3M,0,1.74,7,02794E,decline,"Cafeterias, Coffee Shops, Donuts",Authentication Failed/Unavailable,1,0,0
2024-01-14,6300,N,J9J3M,0,27.52,8997,03655E,approved,"Insurance Sales, Underwriting, and Premiums",Authentication Failed/Unavailable,1,0,1
2024-01-15,4816,N,J9J3M,0,60.93,0,07254E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2024-01-15,5734,N,J9J3M,7,44.83,0,05535E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2024-01-16,4816,N,J9J3M,0,52.86,0,08200E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2024-01-17,4816,N,J9J3M,0,24.13,0,06797E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2024-01-18,4816,N,J9J3M,0,26.43,0,05582E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2024-01-18,4816,N,J9J3M,0,26.43,0,06369E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2024-01-19,5816,N,J9J3M,0,40.34,0,08838E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2024-01-26,5734,N,J9J3M,7,27.52,9004,02494E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2024-01-28,4816,N,J9J3M,0,34.43,0,06796E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2024-01-29,4816,N,J9J3M,0,80.47,0,06734E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2024-01-29,5968,N,J9J3M,0,6.89,0,09371E,approved,Direct Marketing - Other Direct Marketers,Authentication Failed/Unavailable,1,0,1
2024-01-30,5816,N,J9J3M,0,21.83,0,02083E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2024-01-31,5815,N,J9J3M,7,17.23,0,05584E,approved,Digital Goods Media,Authentication Failed/Unavailable,1,0,1
2023-11-05,5814,N,M2N7B,6,15.0,0,06075E,approved,Fast Food Restaurants,Authentication Attempted,1,0,1
2023-11-12,4111,N,M2N7B,0,20.0,0,05722E,approved,Transportation Services,Authentication Failed/Unavailable,1,0,1
2023-11-14,5734,N,M2N7B,0,2.0,0,01712E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-11-14,5999,N,M2N7B,0,27.52,8997,03971E,approved,Miscellaneous Retail Stores,Authentication Failed/Unavailable,1,0,1
2023-11-17,5734,N,M2N7B,0,2.0,0,02088E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-11-17,5734,N,M2N7B,0,2.0,0,02981E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-11-17,5499,N,M2N7B,2,119.84,9007,06721E,approved,Miscellaneous Food Stores,Authentication Successful,1,0,1
2023-11-21,4814,N,M2N7B,0,45.2,0,00303E,approved,Telecommunication Services,Authentication Failed/Unavailable,1,0,1
2023-11-23,5814,N,M2N7B,6,15.0,0,06595E,approved,Fast Food Restaurants,Authentication Attempted,1,0,1
2023-11-24,5977,N,M2N7B,6,49.72,0,00957E,approved,"Cosmetics, Beauty Supplies",Authentication Attempted,1,0,1
2023-11-24,5734,N,M2N7B,0,11.29,0,01272E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-11-25,5816,N,M2N7B,0,4.56,7,06486E,decline,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,0
2023-11-25,5816,N,M2N7B,0,21.23,7,07124E,decline,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,0
2023-11-25,5814,N,M2N7B,0,11.93,0,07585E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2023-11-27,5732,N,M2N7B,0,27.52,9004,04290E,approved,Electronics Stores,Authentication Failed/Unavailable,1,0,1
2023-11-29,4816,N,M2N7B,0,13.6,7,09170E,decline,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,0
2023-11-29,4816,N,M2N7B,6,12.42,0,09297E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-03,5977,N,M2N7B,0,10.75,7,02427E,decline,"Cosmetics, Beauty Supplies",Authentication Failed/Unavailable,1,0,0
2023-12-03,5977,N,M2N7B,0,27.52,0,00813E,approved,"Cosmetics, Beauty Supplies",Authentication Failed/Unavailable,1,0,1
2023-12-09,5661,N,M2N7B,0,117.51,9004,00020E,approved,Shoe Stores,Authentication Failed/Unavailable,1,0,1
2023-12-10,5734,N,M2N7B,0,17.96,7,07498E,decline,Computer Software Stores,Authentication Failed/Unavailable,1,0,0
2023-12-10,5814,N,M2N7B,0,12.27,0,08006E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2023-12-16,5499,N,M2N7B,6,27.52,0,02332E,approved,Miscellaneous Food Stores,Authentication Attempted,1,0,1
2023-12-17,4111,N,M2N7B,0,20.0,0,00799E,approved,Transportation Services,Authentication Failed/Unavailable,1,0,1
2023-12-21,4814,N,M2N7B,0,45.2,0,07508E,approved,Telecommunication Services,Authentication Failed/Unavailable,1,0,1
2023-12-24,5734,N,M2N7B,0,2.0,0,06751E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-12-24,5734,N,M2N7B,0,11.29,0,01273E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2024-01-13,5814,N,M2N7B,6,15.0,0,00136E,approved,Fast Food Restaurants,Authentication Attempted,1,0,1
2024-01-21,4814,N,M2N7B,0,45.2,0,08798E,approved,Telecommunication Services,Authentication Failed/Unavailable,1,0,1
2024-01-24,5734,N,M2N7B,0,11.29,0,01266E,approved,Computer Software Stores,Authentication Failed/Unavailable,1,0,1
2023-12-08,4816,N,J2K0L,0,18.68,7,07318E,decline,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,0
2023-12-25,4812,N,J2K0L,0,7.55,7,08750E,decline,Telegraph Services,Authentication Failed/Unavailable,1,0,0
2023-12-25,4812,N,J2K0L,0,17.77,7,05414E,decline,Telegraph Services,Authentication Failed/Unavailable,1,0,0
2023-12-25,4814,N,J2K0L,0,17.25,0,08952E,approved,Telecommunication Services,Authentication Failed/Unavailable,1,0,1
2023-12-25,4814,N,J2K0L,0,17.25,0,09061E,approved,Telecommunication Services,Authentication Failed/Unavailable,1,0,1
2023-11-01,4814,N,V9S5T,0,39.2,0,03082E,approved,Telecommunication Services,Authentication Failed/Unavailable,1,0,1
2023-11-24,7399,N,V9S5T,0,14.44,7,01263E,decline,Business Services,Authentication Failed/Unavailable,1,0,0
2023-12-02,4814,N,V9S5T,0,39.2,0,09146E,approved,Telecommunication Services,Authentication Failed/Unavailable,1,0,1
2023-11-25,4816,N,H7L5Z,6,45.58,86,06559E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-11-28,4816,N,H7L5Z,6,68.91,86,09151E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-06,4816,N,H7L5Z,6,80.47,0,01617E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-06,4816,N,H7L5Z,6,17.23,0,04758E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-10-30,7393,N,T5M0B,0,49.67,0,01481E,approved,Auction Houses,Authentication Failed/Unavailable,1,0,1
2023-10-31,7349,N,T5M0B,7,113.4,0,06313E,approved,Cleaning and Maintenance,Authentication Failed/Unavailable,1,0,1
2023-11-02,5499,N,T5M0B,7,82.99,0,04698E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2023-11-03,7221,N,T5M0B,0,31.5,0,09281E,approved,Photographic Studios,Authentication Failed/Unavailable,1,0,1
2023-11-03,5200,N,T5M0B,0,20.75,7,04770E,decline,Home Improvement Stores,Authentication Failed/Unavailable,1,0,0
2023-11-03,5200,N,T5M0B,0,23.25,0,00036E,approved,Home Improvement Stores,Authentication Failed/Unavailable,1,0,1
2023-11-08,7399,N,T5M0B,0,6.14,0,04800E,approved,Business Services,Authentication Failed/Unavailable,1,0,1
2023-11-08,4900,N,T5M0B,0,27.52,0,05206E,approved,Utilities,Authentication Failed/Unavailable,1,0,1
2023-11-08,7221,N,T5M0B,0,15.99,0,00014E,approved,Photographic Studios,Authentication Failed/Unavailable,1,0,1
2023-11-09,4816,N,T5M0B,0,59.8,0,08266E,approved,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,1
2023-11-10,5200,N,T5M0B,0,22.8,7,08680E,decline,Home Improvement Stores,Authentication Failed/Unavailable,1,0,0
2023-11-10,5200,N,T5M0B,0,10.45,0,09884E,approved,Home Improvement Stores,Authentication Failed/Unavailable,1,0,1
2023-11-12,4816,N,T5M0B,6,14.69,0,09675E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-11-13,4816,N,T5M0B,6,56.69,0,08085E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-11-14,7349,N,T5M0B,7,129.15,0,07195E,approved,Cleaning and Maintenance,Authentication Failed/Unavailable,1,0,1
2023-11-15,5816,N,T5M0B,0,61.39,0,01793E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2023-11-15,7922,N,T5M0B,0,100.0,8997,03559E,approved,Theatrical Producers and Ticket Agencies,Authentication Failed/Unavailable,1,0,1
2023-11-16,5499,N,T5M0B,7,82.99,0,00771E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2023-11-21,4816,N,T5M0B,6,20.99,0,05644E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-11-23,5499,N,T5M0B,7,82.99,0,03301E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2023-11-26,4899,N,T5M0B,7,17.31,0,08767E,approved,"Cable, Satellite, and Other Pay Television and Radio Services",Authentication Failed/Unavailable,1,0,1
2023-11-27,7372,N,T5M0B,2,17.35,7,02643E,decline,Computer Programming,Authentication Successful,1,0,0
2023-11-27,7372,N,T5M0B,0,27.52,0,02716E,approved,Computer Programming,Authentication Failed/Unavailable,1,0,1
2023-11-28,7349,N,T5M0B,7,113.4,0,06254E,approved,Cleaning and Maintenance,Authentication Failed/Unavailable,1,0,1
2023-11-29,7393,N,T5M0B,0,49.67,0,07324E,approved,Auction Houses,Authentication Failed/Unavailable,1,0,1
2023-11-30,5499,N,T5M0B,7,82.99,0,09224E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2023-12-03,4816,N,T5M0B,6,20.99,0,03151E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-03,4816,N,T5M0B,6,10.49,0,06561E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-04,4816,N,T5M0B,6,39.01,0,09521E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-04,5942,N,T5M0B,0,15.06,7,06772E,decline,Book Stores,Authentication Failed/Unavailable,1,0,0
2023-12-04,5942,N,T5M0B,0,20.46,0,08274E,approved,Book Stores,Authentication Failed/Unavailable,1,0,1
2023-12-07,5499,N,T5M0B,7,82.99,0,01327E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2023-12-08,7399,N,T5M0B,0,5.6,0,05026E,approved,Business Services,Authentication Failed/Unavailable,1,0,1
2023-12-08,4900,N,T5M0B,0,27.52,0,05555E,approved,Utilities,Authentication Failed/Unavailable,1,0,1
2023-12-12,4816,N,T5M0B,0,12.32,7,00644E,decline,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,0
2023-12-12,4816,N,T5M0B,6,50.0,0,04384E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-12,4816,N,T5M0B,6,7.86,0,06967E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-13,4816,N,T5M0B,6,32.51,0,09801E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-14,5499,N,T5M0B,7,82.99,0,01530E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2023-12-14,4816,N,T5M0B,6,62.5,0,09259E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-14,7349,N,T5M0B,7,27.52,0,07192E,approved,Cleaning and Maintenance,Authentication Failed/Unavailable,1,0,1
2023-12-18,4900,N,T5M0B,0,121.01,0,01641E,approved,Utilities,Authentication Failed/Unavailable,1,0,1
2023-12-18,4816,N,T5M0B,6,36.54,0,06868E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-20,4816,N,T5M0B,6,12.59,0,04482E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-22,5816,N,T5M0B,0,16.79,0,00510E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2023-12-26,4899,N,T5M0B,0,17.31,0,01235E,approved,"Cable, Satellite, and Other Pay Television and Radio Services",Authentication Failed/Unavailable,1,0,1
2023-12-28,5499,N,T5M0B,7,82.99,0,04122E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2023-12-28,7372,N,T5M0B,0,1.0,0,05014E,approved,Computer Programming,Authentication Failed/Unavailable,1,0,1
2023-12-28,7349,N,T5M0B,7,89.78,0,04283E,approved,Cleaning and Maintenance,Authentication Failed/Unavailable,1,0,1
2024-01-03,7393,N,T5M0B,0,49.67,0,03776E,approved,Auction Houses,Authentication Failed/Unavailable,1,0,1
2024-01-04,5499,N,T5M0B,7,82.99,0,03063E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2024-01-04,9399,N,T5M0B,0,4.38,0,02475E,approved,Government Services - Not Elsewhere Classified,Authentication Failed/Unavailable,1,0,1
2024-01-05,4816,N,T5M0B,6,62.99,0,05130E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2024-01-05,4816,N,T5M0B,6,15.74,0,09416E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2024-01-08,7399,N,T5M0B,0,5.9,0,04880E,approved,Business Services,Authentication Failed/Unavailable,1,0,1
2024-01-08,4900,N,T5M0B,0,27.52,0,05364E,approved,Utilities,Authentication Failed/Unavailable,1,0,1
2024-01-08,7032,N,T5M0B,0,127.25,8997,07067E,approved,Amusement Parks,Authentication Failed/Unavailable,1,0,1
2024-01-09,4816,N,T5M0B,6,16.74,0,03703E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2024-01-09,4816,N,T5M0B,6,29.56,0,09379E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2024-01-09,7349,N,T5M0B,7,121.28,0,04158E,approved,Cleaning and Maintenance,Authentication Failed/Unavailable,1,0,1
2024-01-10,5300,N,T5M0B,0,31.49,0,01582E,approved,Discount Stores,Authentication Failed/Unavailable,1,0,1
2024-01-11,5499,N,T5M0B,7,82.99,0,07395E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2024-01-15,4900,N,T5M0B,0,27.52,0,05738E,approved,Utilities,Authentication Failed/Unavailable,1,0,1
2024-01-16,5814,N,T5M0B,0,20.03,0,02772E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
2024-01-17,3366,N,T5M0B,0,8.34,7,04652E,decline,Boat Dealers,Authentication Failed/Unavailable,1,0,0
2024-01-17,3366,N,T5M0B,0,27.52,8997,04693E,approved,Boat Dealers,Authentication Failed/Unavailable,1,0,1
2024-01-17,5999,N,T5M0B,0,73.47,0,09732E,approved,Miscellaneous Retail Stores,Authentication Failed/Unavailable,1,0,1
2024-01-18,5499,N,T5M0B,7,82.99,0,03466E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2024-01-20,4816,N,T5M0B,6,33.16,0,09152E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2024-01-23,7349,N,T5M0B,7,121.28,0,01206E,approved,Cleaning and Maintenance,Authentication Failed/Unavailable,1,0,1
2024-01-25,5499,N,T5M0B,7,82.99,0,09226E,approved,Miscellaneous Food Stores,Authentication Failed/Unavailable,1,0,1
2024-01-26,4899,N,T5M0B,7,17.31,0,09158E,approved,"Cable, Satellite, and Other Pay Television and Radio Services",Authentication Failed/Unavailable,1,0,1
2024-01-29,7393,N,T5M0B,0,49.67,0,02749E,approved,Auction Houses,Authentication Failed/Unavailable,1,0,1
2024-01-31,4816,N,T5M0B,0,10.42,7,03214E,decline,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,0
2024-01-31,4816,N,T5M0B,6,1.95,0,06192E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-11-02,4814,N,V9R4G,6,19.04,0,03342E,approved,Telecommunication Services,Authentication Attempted,1,0,1
2023-11-22,4812,N,V9R4G,6,27.52,0,02521E,approved,Telegraph Services,Authentication Attempted,1,0,1
2023-12-02,4814,N,V9R4G,6,19.04,0,00181E,approved,Telecommunication Services,Authentication Attempted,1,0,1
2023-12-11,5732,N,V9R4G,6,27.52,0,07124E,approved,Electronics Stores,Authentication Attempted,1,0,1
2023-12-12,4816,N,V9R4G,0,23.78,7,05076E,decline,Prepaid Telephone Cards,Authentication Failed/Unavailable,1,0,0
2023-12-12,4816,N,V9R4G,6,16.99,0,01300E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-12-18,4814,N,V9R4G,0,17.38,7,04274E,decline,Telecommunication Services,Authentication Failed/Unavailable,1,0,0
2024-01-02,4814,N,V9R4G,6,19.04,0,02162E,approved,Telecommunication Services,Authentication Attempted,1,0,1
2024-01-14,5912,N,V9R4G,0,8.43,0,05053E,approved,Pharmacies,Authentication Failed/Unavailable,1,0,1
2024-01-26,8398,N,V9R4G,6,36.0,0,06160E,approved,Charitable and Social Service Organizations,Authentication Attempted,1,0,1
2023-10-31,4816,N,L3X3B,6,27.52,8997,07057E,approved,Prepaid Telephone Cards,Authentication Attempted,1,0,1
2023-11-03,5812,N,L3X3B,6,20.32,0,03501E,approved,Restaurants,Authentication Attempted,1,0,1
2023-11-10,5814,N,L3X3B,0,25.0,0,05287E,approved,Fast Food Restaurants,Authentication Failed/Unavailable,1,0,1
